"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","220","test_empty_password","tests","Tue Mar 10 10:54:24 UTC 2026","failed","Tue Mar 10 10:54:24 UTC 2026","TestLogin","test_login","",""
"","5656","测试登录场景： / secret_sauce","tests","Wed Feb 25 14:22:57 UTC 2026","failed","Wed Feb 25 14:23:02 UTC 2026","TestLogin","test_login","",""
"","219","test_sql_injection","tests","Tue Mar 10 10:54:29 UTC 2026","failed","Tue Mar 10 10:54:29 UTC 2026","TestLogin","test_login","",""
"","216","测试登录场景：fake_user / wrong_pwd","tests","Tue Mar 10 10:54:21 UTC 2026","failed","Tue Mar 10 10:54:22 UTC 2026","TestLogin","test_login","",""
"","226","test_password_case_sensitive","tests","Tue Mar 10 10:54:26 UTC 2026","failed","Tue Mar 10 10:54:27 UTC 2026","TestLogin","test_login","",""
"","223","test_username_with_spaces","tests","Tue Mar 10 10:54:28 UTC 2026","failed","Tue Mar 10 10:54:28 UTC 2026","TestLogin","test_login","",""
"","225","test_username_case_sensitive","tests","Tue Mar 10 10:54:25 UTC 2026","failed","Tue Mar 10 10:54:25 UTC 2026","TestLogin","test_login","",""
"","200","测试登录场景：problem_user / secret_sauce","tests","Tue Mar 10 10:54:19 UTC 2026","failed","Tue Mar 10 10:54:19 UTC 2026","TestLogin","test_login","",""
"","1091","测试登录场景： / secret_sauce","tests","Tue Mar 10 10:54:08 UTC 2026","passed","Tue Mar 10 10:54:09 UTC 2026","TestLogin","test_login","",""
"","8951","用户名和密码均为空","tests","Wed Feb 25 14:16:26 UTC 2026","passed","Wed Feb 25 14:16:35 UTC 2026","TestLogin","test_login","",""
"","337","测试登录场景：standard_user / secret_sauce","tests","Tue Mar 10 10:54:11 UTC 2026","passed","Tue Mar 10 10:54:11 UTC 2026","TestLogin","test_login","",""
"","0","测试登录场景：standard_user / secret_sauce","","Wed Feb 25 14:23:05 UTC 2026","skipped","Wed Feb 25 14:23:05 UTC 2026","","","",""
"","228","测试登录场景：locked_out_user / secret_sauce","tests","Tue Mar 10 10:54:20 UTC 2026","failed","Tue Mar 10 10:54:20 UTC 2026","TestLogin","test_login","",""
"","218","test_empty_username","tests","Tue Mar 10 10:54:23 UTC 2026","failed","Tue Mar 10 10:54:23 UTC 2026","TestLogin","test_login","",""
"","5256","测试登录场景：performance_glitch_user / secret_sauce","tests","Tue Mar 10 10:54:12 UTC 2026","passed","Tue Mar 10 10:54:18 UTC 2026","TestLogin","test_login","",""
"","241","测试登录场景：standard_user / ","tests","Tue Mar 10 10:54:10 UTC 2026","passed","Tue Mar 10 10:54:10 UTC 2026","TestLogin","test_login","",""
