"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","522","test_password_case_sensitive","tests","Thu Feb 26 19:17:45 CST 2026","passed","Thu Feb 26 19:17:46 CST 2026","TestLogin","test_login","",""
"","8951","用户名和密码均为空","tests","Wed Feb 25 22:16:26 CST 2026","passed","Wed Feb 25 22:16:35 CST 2026","TestLogin","test_login","",""
"","583","test_username_case_sensitive","tests","Thu Feb 26 19:17:43 CST 2026","passed","Thu Feb 26 19:17:44 CST 2026","TestLogin","test_login","",""
"","541","测试登录场景：fake_user / wrong_pwd","tests","Thu Feb 26 19:17:39 CST 2026","passed","Thu Feb 26 19:17:39 CST 2026","TestLogin","test_login","",""
"","0","测试登录场景：standard_user / secret_sauce","","Wed Feb 25 22:23:05 CST 2026","skipped","Wed Feb 25 22:23:05 CST 2026","","","",""
"","612","测试登录场景：problem_user / secret_sauce","tests","Thu Feb 26 19:17:35 CST 2026","passed","Thu Feb 26 19:17:35 CST 2026","TestLogin","test_login","",""
"","548","test_empty_username","tests","Thu Feb 26 19:17:40 CST 2026","passed","Thu Feb 26 19:17:41 CST 2026","TestLogin","test_login","",""
"","850","测试登录场景：standard_user / ","tests","Thu Feb 26 19:17:23 CST 2026","passed","Thu Feb 26 19:17:24 CST 2026","TestLogin","test_login","",""
"","620","测试登录场景：standard_user / secret_sauce","tests","Thu Feb 26 19:17:26 CST 2026","passed","Thu Feb 26 19:17:26 CST 2026","TestLogin","test_login","",""
"","472","test_empty_password","tests","Thu Feb 26 19:17:42 CST 2026","passed","Thu Feb 26 19:17:42 CST 2026","TestLogin","test_login","",""
"","485","test_sql_injection","tests","Thu Feb 26 19:17:48 CST 2026","passed","Thu Feb 26 19:17:49 CST 2026","TestLogin","test_login","",""
"","5656","测试登录场景： / secret_sauce","tests","Wed Feb 25 22:22:57 CST 2026","failed","Wed Feb 25 22:23:02 CST 2026","TestLogin","test_login","",""
"","573","test_username_with_spaces","tests","Thu Feb 26 19:17:47 CST 2026","passed","Thu Feb 26 19:17:47 CST 2026","TestLogin","test_login","",""
"","5639","测试登录场景：performance_glitch_user / secret_sauce","tests","Thu Feb 26 19:17:28 CST 2026","passed","Thu Feb 26 19:17:33 CST 2026","TestLogin","test_login","",""
"","644","测试登录场景：locked_out_user / secret_sauce","tests","Thu Feb 26 19:17:37 CST 2026","passed","Thu Feb 26 19:17:37 CST 2026","TestLogin","test_login","",""
"","3600","测试登录场景： / secret_sauce","tests","Thu Feb 26 19:17:19 CST 2026","passed","Thu Feb 26 19:17:22 CST 2026","TestLogin","test_login","",""
